Real GDP,Retail Sales,NET TRADE,Inflation (HICP/CPI),Unemployment rate,Interest rate 10 year government bond yield,Business Confidence Index,Stock Market Index,Consumer Confidence Index,Oil price,Industrial Production
,,-6780700000.0,103.56,8.9,0.77,3.2,114.0404,-13.8,78.89,105.3
556474.5,1.99482822312551,-5905100000.0,103.67,8.8,0.82,1.9,109.2244,-11.3,81.03,106.8
,,-6178000000.0,103.45,8.7,0.76,2.4,106.1412,-13.6,64.75,105.6
,,-5663800000.0,103.47,8.8,0.7,2.2,100.1675,-16.8,57.36,106.7
561651.4,2.30600292825678,-6449000000.0,103.01,8.8,0.65,2.5,101.2198,-12.1,59.41,107.3
,,-6317400000.0,103.06,8.7,0.55,1.9,107.0714,-10.6,63.96,107.3
,,-6423400000.0,103.89,8.7,0.44,4.5,110.9524,-9.9,66.14,107.1
564740.9,2.2222222222221,-6415700000.0,104.22,8.5,0.37,4.8,115.1051,-10.3,71.23,107.3
,,-5374300000.0,104.33,8.5,0.3,5.8,111.9079,-8.3,71.32,109.2
,,-6626800000.0,104.58,8.5,0.08,5.1,112.6742,-8.3,64.22,105.8
564692.7,2.32642675390777,-6739300000.0,104.38,8.4,-0.07,4.1,115.8961,-6.6,63.92,106.7
,,-6032000000.0,104.86,8.3,-0.34,4.1,111.4429,-7.5,59.04,105.3
,,-6301200000.0,104.5,8.2,-0.27,4.5,116.428,-6.1,62.83,106.6
561910.1,2.71640709887719,-6305400000.0,104.46,8.2,-0.16,3.4,116.7199,-6.6,59.71,106.6
,,-7003800000.0,104.52,8.2,-0.02,3.3,122.0768,-5.8,63.21,105.8
,,-5515100000.0,104.98,8.2,0.04,6.4,122.7562,-9.5,67.31,103.5
533551.7,-3.64937388193214,-7362300000.0,104.54,8.2,-0.01,5.5,124.3891,-8.8,63.65,105.5
,,-6753300000.0,104.53,7.8,-0.18,6.2,123.3285,-7.6,55.66,107.1
,,-3901100000.0,104.59,7.6,-0.05,-1.4,93.03694,-12.6,32.01,86.8
468293.6,-11.0833927298642,-5141500000.0,104.56,7.6,0.06,-40.6,91.88736,-21.7,18.38,67.4
,,-8071500000.0,104.71,6.9,-0.03,-53.4,93.7355,-17.8,29.38,81.9
,,-9438400000.0,104.79,7.4,-0.04,-44.7,102.9002,-12.4,40.27,92.9
540199.9,2.94849023090551,-7991400000.0,105.19,8.6,-0.15,-36.3,103.7471,-11.8,43.24,97.3
,,-7770000000.0,105.09,9.0,-0.17,-18.5,103.4332,-12.2,44.74,97.9
,,-6768400000.0,104.55,9.0,-0.21,-4.2,102.9413,-10.9,40.91,99.8
539654.5,-0.352609308885565,-6800400000.0,104.51,8.3,-0.3,-8.0,101.2923,-13.4,40.19,101.9
,,-5940300000.0,104.73,8.0,-0.32,-11.1,111.1591,-18.0,42.69,100.3
,,-5952100000.0,104.96,7.9,-0.34,-11.7,115.7445,-10.8,49.99,99.6
541905.4,8.87486075009292,-6539000000.0,105.12,8.1,-0.31,-12.6,116.961,-13.5,54.77,102.8
,,-7499200000.0,105.12,8.2,-0.15,-11.7,119.2072,-14.3,62.28,98.4
,,-8240000000.0,105.75,8.2,-0.07,-8.0,124.0897,-9.8,65.41,100.0
548431.9,17.5951903807613,-8184699999.999999,105.86,8.2,-0.01,-8.7,129.032,-9.7,64.81,100.0
,,-7806300000.0,106.2,8.0,0.21,0.2,131.5994,-5.4,68.53,100.1
,,-8196899999.999999,106.34,7.9,0.15,6.1,135.7465,-0.2,73.16,99.5
564865.1,5.0724637681157,-9723200000.0,106.4,7.9,-0.01,9.4,134.6109,-3.1,75.17,100.3
,,-9041300000.0,107.05,7.9,-0.12,8.6,139.0517,-6.5,70.75,100.1
,,-8441900000.0,106.81,7.7,0.04,9.0,137.2517,-2.8,74.49,98.6
567952.9,9.37721160651106,-10047300000.0,107.25,7.5,0.2,10.2,137.3855,-6.2,83.54,101.3
,,-12206500000.0,107.64,7.4,0.1,13.5,144.1086,-6.9,81.05,99.2
,,-13606700000.0,107.85,7.4,0.05,9.9,143.102,-8.4,74.17,99.7
567473.3,5.55934515688949,-10835900000.0,108.12,7.3,0.31,7.1,145.4614,-9.4,86.51,101.9
,,-14033700000.0,108.94,7.4,0.68,8.6,141.0797,-8.5,97.13,100.4
,,-15570500000.0,110.49,7.4,0.78,8.1,131.8352,-21.2,117.25,99.9
569851.9,6.13496932515367,-15719200000.0,110.97,7.5,1.28,7.8,134.1757,-19.2,104.58,99.1
